optimizer,learning_rate,momentum,cpu,memory,time,epochs,predictions,dataset,loss,accuracy
adagrad,0.00875108988580309,0.10485721465157749,81.275,75.3438,98.9703,8,348.00244140625,16,0.041279811412096024,1.0
adam,0.001269074360707434,0.15308617151971637,77.1636,73.4545,132.8219,11,304.50213623046875,16,0.06511614471673965,0.9791666865348816
adamax,0.007287970828492939,0.21131996698580202,75.5429,73.5071,88.2348,7,435.00305175781244,15,0.11014729738235474,0.9635416865348816
ftrl,0.0005812337534648099,0.46992697952575446,75.0548,75.0619,256.7182,21,304.50213623046875,15,0.18438251316547394,0.953125
nadam,0.00021063782448480043,0.18786320738152695,74.2542,73.8125,135.8448,12,43.50030517578125,15,0.07204245775938034,0.984375
sgd,0.004178804377944639,0.5692357470990352,73.1944,73.2611,109.6073,9,130.50091552734375,15,0.07222329825162888,0.9739583134651184
rmsprop,0.0010848925521274946,0.09972941715648698,71.4542,74.475,141.1942,12,217.50152587890622,14,0.045825887471437454,0.984375
adadelta,0.0025223554180027787,0.5681855729352417,71.2773,73.8932,243.8269,22,87.0006103515625,11,0.6181855201721191,0.6354166865348816
adagrad,0.008014747000678571,0.32914705625854734,70.1571,73.9393,148.4916,14,217.50152587890622,16,0.072067029774189,0.9791666865348816
adam,0.007821183497963626,0.8311651513616216,71.1889,73.05,105.098,9,217.50152587890622,16,0.059574540704488754,0.9791666865348816
adamax,0.004544801730997788,0.37794668571030277,71.0038,74.0654,152.8598,13,217.50152587890622,16,0.022859713062644005,0.9947916865348816
ftrl,0.0011489433055237453,0.617366243522534,70.4643,72.9929,177.5109,14,391.5027465820312,15,0.1934298276901245,0.9427083134651184
nadam,0.003943342708684713,0.31937014402130925,71.0188,75.7688,97.3032,8,174.001220703125,16,0.047179754823446274,0.9739583134651184
sgd,0.003542737807754858,0.7001334243237981,70.7389,74.2556,116.3582,9,435.00305175781244,16,0.075589120388031,0.9739583134651184
rmsprop,0.0021943416002453723,0.40365219227084637,70.5,75.7857,80.5386,7,217.50152587890622,16,0.06448440998792648,0.984375
adadelta,0.0011760907163932991,0.6166961975448302,70.1056,76.3167,113.6502,9,391.5027465820312,6,0.7540912628173828,0.5572916865348816
adagrad,0.007935653040495542,0.8812223640538249,69.4071,73.0214,79.6415,7,174.001220703125,16,0.14517079293727875,0.9375
adam,0.00892439386646614,0.9644080956683616,68.6062,74.6125,95.6006,8,391.5027465820312,16,0.09101638942956924,0.96875
adamax,0.002035613754791556,0.8631184780798705,68.8708,75.2,136.4584,12,217.50152587890622,16,0.09387402981519699,0.953125
ftrl,0.00925144139495955,0.5652847893507633,68.69,74.81,125.1359,10,348.00244140625,16,0.10084467381238937,0.9791666865348816
nadam,0.0012036746361281847,0.17423546907183463,68.7056,75.05,109.429,9,435.00305175781244,14,0.09672384709119797,0.96875
sgd,0.009493963300522825,0.9802117062779158,68.3417,72.5917,72.7124,6,304.50213623046875,16,0.26688674092292786,0.9739583134651184
rmsprop,0.006700096340361489,0.3185017959296653,68.4917,73.75,71.762,6,304.50213623046875,15,0.15222576260566711,0.9635416865348816
adadelta,0.005365415075660108,0.8268463095430258,67.9438,74.6112,419.6918,40,130.50091552734375,15,0.29587289690971375,0.8489583134651184
adagrad,0.0017951533426967565,0.673485511227231,67.73,75.06,222.4467,20,435.00305175781244,15,0.11239871382713318,0.953125
adam,0.008391432320072691,0.5877187048789551,68.0222,74.2278,103.7116,9,348.00244140625,16,0.06017673388123512,0.984375
adamax,0.009130290014015944,0.2338271879251651,68.1893,73.5607,152.0151,14,130.50091552734375,16,0.023159481585025787,0.9895833134651184
ftrl,0.0012493104280434663,0.9888806016200856,67.95,75.0944,93.2835,9,87.0006103515625,16,0.16685472428798676,0.9635416865348816
nadam,0.00725865523046551,0.3485707723014314,68.185,75.1,113.4959,10,130.50091552734375,16,0.03203253820538521,0.984375
sgd,0.0009226387587139042,0.09228503543452282,68.0333,77.1083,123.6007,12,87.0006103515625,16,0.10388790816068649,0.9739583134651184
rmsprop,0.006009188991461665,0.33403089442757705,67.9833,73.5583,70.6248,6,261.0018310546875,14,0.1131182610988617,0.9583333134651184
adadelta,0.0007394206961337329,0.09518393283352933,67.605,74.29,118.9949,10,435.00305175781244,6,0.934406578540802,0.3645833432674408
adagrad,0.006661318873895032,0.6245257820946845,67.3167,75.7833,100.8172,9,261.0018310546875,16,0.08989483118057251,0.953125
adam,0.004941030619954085,0.7259039326920292,67.2786,77.3571,75.3434,7,174.001220703125,16,0.039231013506650925,0.984375
adamax,0.0003997317096865739,0.17557892843746892,67.4575,75.0025,204.1531,20,174.001220703125,15,0.07950327545404434,0.9791666865348816
ftrl,0.003942319834121635,0.2004647428838705,67.2929,74.7643,75.0708,7,261.0018310546875,16,0.14914099872112274,0.9427083134651184
nadam,0.007733611335468339,0.17114502153296185,67.2417,74.475,71.5459,6,391.5027465820312,16,0.07726361602544785,0.984375
sgd,0.009835849908360826,0.9285419896378774,67.0125,72.9312,98.7329,8,261.0018310546875,16,0.12902407348155975,0.9791666865348816
rmsprop,0.0008516234778557722,0.9580574213960379,66.9833,75.1722,94.5579,9,130.50091552734375,16,0.046818722039461136,0.9895833134651184
adadelta,0.0031820678177688867,0.3495697050569274,66.9946,73.4703,390.7676,37,217.50152587890622,11,0.48498833179473877,0.7291666865348816
adagrad,0.0020356510296791397,0.858594397935651,66.8967,75.8633,155.0804,15,174.001220703125,15,0.11508064717054367,0.9739583134651184
adam,0.0057099497514247356,0.008678824388666406,66.8714,77.5643,81.6537,7,261.0018310546875,16,0.09727337956428528,0.9635416865348816
adamax,0.007429562428441341,0.030962500726900433,66.9318,74.3455,118.4886,11,174.001220703125,16,0.06066232547163963,0.9791666865348816
ftrl,0.000960828298472936,0.2349103343779858,66.6,74.6208,115.0702,12,43.50030517578125,16,0.1461019665002823,0.9479166865348816
